timestamp,gps.posx,gps.posy,ahrs.yaw,ahrs.yaw_speed,gps.hspeed,gps.stdx,gps.stdy,gps.track,target.posx,target.posy,target.yaw,target.yaw_speed,target.hspeed,target.stdx,target.stdy,target.track,left_motor,right_motor
1558320356.9206963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.5873770035266,49.67291691953533,0.0,0.0,0.0,0.0,0.0,0.0,1499.457306014106,900.5426939858938
1558320357.03938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.91371401951596,49.611197533719256,0.0,0.0,0.0,0.0,0.0,0.0,1424.399605051063,975.600394948937
1558320357.4063997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.02090300330309,49.58214071522407,0.0,0.0,0.0,0.0,0.0,0.0,1419.2232116698278,980.7767883301722
1558320357.4911726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.34246995466448,49.494970259738515,0.0,0.0,0.0,0.0,0.0,0.0,1419.4118611537294,980.5881388462706
1558320357.5889099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.41261864743298,49.47560210270196,0.0,0.0,0.0,0.0,0.0,0.0,1416.3145551944544,983.6854448055454
1558320357.6896427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.48276734020149,49.45623394566541,0.0,0.0,0.0,0.0,0.0,0.0,1414.1930545035723,985.8069454964278
1558320357.7853947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.55291603296999,49.43686578862886,0.0,0.0,0.0,0.0,0.0,0.0,1412.595075139332,987.404924860668
1558320357.8721921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.6230647257385,49.417497631592305,0.0,0.0,0.0,0.0,0.0,0.0,1410.9755665042007,989.0244334957993
1558320357.9878466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.693213418507,49.39812947455575,0.0,0.0,0.0,0.0,0.0,0.0,1410.9961198282024,989.0038801717976
1558320358.08259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.76354327260847,49.377008857393825,0.0,0.0,0.0,0.0,0.0,0.0,1409.6068896228126,990.3931103771874
1558320358.1733499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.83387312670995,49.35588824023189,0.0,0.0,0.0,0.0,0.0,0.0,1405.7509551700527,994.2490448299473
1558320358.3249447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.90420298081142,49.334767623069965,0.0,0.0,0.0,0.0,0.0,0.0,1405.6095215822431,994.3904784177569
1558320358.4117143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.04486268901437,49.292526388746104,0.0,0.0,0.0,0.0,0.0,0.0,1400.80499053136,999.1950094686399
1558320358.511446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.04486268901437,49.292526388746104,0.0,0.0,0.0,0.0,0.0,0.0,1402.5728846697036,997.4271153302964
1558320358.6081865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.14998284086576,49.26029692289376,0.0,0.0,0.0,0.0,0.0,0.0,1397.690245495449,1002.3097545045509
1558320358.7049289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.25510299271716,49.22806745704142,0.0,0.0,0.0,0.0,0.0,0.0,1392.5852469817694,1007.4147530182306
1558320358.7916973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.36022314456854,49.19583799118907,0.0,0.0,0.0,0.0,0.0,0.0,1392.524353550833,1007.4756464491671
1558320358.9073875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.46534329641993,49.163608525336734,0.0,0.0,0.0,0.0,0.0,0.0,1390.4758006662144,1009.5241993337856
1558320358.9961503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.57046344827133,49.13137905948439,0.0,0.0,0.0,0.0,0.0,0.0,1384.8721716529337,1015.1278283470662
1558320359.0839138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.63979015199554,49.11404426882955,0.0,0.0,0.0,0.0,0.0,0.0,1378.7206344565243,1021.2793655434756
1558320359.192629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.70911685571974,49.096709478174716,0.0,0.0,0.0,0.0,0.0,0.0,1375.9379413276013,1024.0620586723987
1558320359.2793937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.77844355944396,49.07937468751987,0.0,0.0,0.0,0.0,0.0,0.0,1371.398449312172,1028.601550687828
1558320359.3701525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.84777026316816,49.06203989686504,0.0,0.0,0.0,0.0,0.0,0.0,1367.7005460563125,1032.2994539436875
1558320359.4728792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.91709696689237,49.0447051062102,0.0,0.0,0.0,0.0,0.0,0.0,1364.0241549169116,1035.9758450830884
1558320359.5855753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.01704260062519,49.0229913597765,0.0,0.0,0.0,0.0,0.0,0.0,1361.5988665492096,1038.4011334507904
1558320359.6693492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.116988234358,49.0012776133428,0.0,0.0,0.0,0.0,0.0,0.0,1353.558241937447,1046.441758062553
1558320359.781052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.21693386809082,48.979563866909096,0.0,0.0,0.0,0.0,0.0,0.0,1354.2650020722267,1045.7349979277733
1558320359.861834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.31687950182364,48.9578501204754,0.0,0.0,0.0,0.0,0.0,0.0,1352.8775904623667,1047.1224095376333
1558320359.9515939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.41682513555645,48.936136374041695,0.0,0.0,0.0,0.0,0.0,0.0,1349.6046777008291,1050.3953222991709
1558320360.0762658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.48394929855223,48.92740042386418,0.0,0.0,0.0,0.0,0.0,0.0,1345.2039883783398,1054.7960116216602
1558320360.3738747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.55107346154801,48.918664473686654,0.0,0.0,0.0,0.0,0.0,0.0,1336.7722268282466,1063.2277731717534
1558320360.4696176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.75244595053535,48.8924566231541,0.0,0.0,0.0,0.0,0.0,0.0,1336.954025898177,1063.045974101823
1558320360.5703478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.8494852416058,48.888677670571646,0.0,0.0,0.0,0.0,0.0,0.0,1338.0534361217938,1061.9465638782062
1558320360.6930196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.94652453267626,48.88489871798919,0.0,0.0,0.0,0.0,0.0,0.0,1332.59192918353,1067.40807081647
1558320360.7947462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.04356382374672,48.88111976540674,0.0,0.0,0.0,0.0,0.0,0.0,1328.7436369357415,1071.2563630642585
1558320360.8865373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.14060311481718,48.87734081282428,0.0,0.0,0.0,0.0,0.0,0.0,1326.3512895062363,1073.6487104937637
1558320361.0051847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.23764240588764,48.87356186024183,0.0,0.0,0.0,0.0,0.0,0.0,1324.7864897436975,1075.2135102563025
1558320361.114899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.33378542506313,48.88158724038562,0.0,0.0,0.0,0.0,0.0,0.0,1322.209331642058,1077.790668357942
1558320361.2126317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.42992844423861,48.88961262052941,0.0,0.0,0.0,0.0,0.0,0.0,1320.101725059636,1079.898274940364
1558320361.3612688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.52607146341411,48.89763800067321,0.0,0.0,0.0,0.0,0.0,0.0,1314.3593494250235,1085.6406505749765
1558320361.459969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.71835750176508,48.913688760960795,0.0,0.0,0.0,0.0,0.0,0.0,1314.665030687646,1085.334969312354
1558320361.557708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.78212319475851,48.92804282168834,0.0,0.0,0.0,0.0,0.0,0.0,1309.639651410933,1090.360348589067
1558320361.651459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.84588888775194,48.94239688241588,0.0,0.0,0.0,0.0,0.0,0.0,1308.0967847260738,1091.9032152739262
1558320361.7631612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.90965458074538,48.95675094314341,0.0,0.0,0.0,0.0,0.0,0.0,1304.8214632542508,1095.1785367457492
1558320361.856911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.97342027373881,48.97110500387095,0.0,0.0,0.0,0.0,0.0,0.0,1304.0095350234035,1095.9904649765965
1558320361.9407218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.03718596673224,48.985459064598494,0.0,0.0,0.0,0.0,0.0,0.0,1303.106090512436,1096.893909487564
1558320362.0533829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.10226724159673,49.00597987000575,0.0,0.0,0.0,0.0,0.0,0.0,1301.8921184015253,1098.1078815984747
1558320362.1461365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.16734851646123,49.02650067541301,0.0,0.0,0.0,0.0,0.0,0.0,1298.7490537533477,1101.2509462466523
1558320362.2359354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.23242979132573,49.04702148082027,0.0,0.0,0.0,0.0,0.0,0.0,1296.2789345046783,1103.7210654953217
1558320362.3515954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.29751106619022,49.06754228622753,0.0,0.0,0.0,0.0,0.0,0.0,1291.142706335968,1108.857293664032
1558320362.4413452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.36259234105472,49.08806309163479,0.0,0.0,0.0,0.0,0.0,0.0,1289.4847960543643,1110.5152039456357
1558320362.5331006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.46018709023109,49.12404133710201,0.0,0.0,0.0,0.0,0.0,0.0,1287.3609525766728,1112.6390474233272
1558320362.6537838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.55778183940744,49.160019582569234,0.0,0.0,0.0,0.0,0.0,0.0,1282.363048947884,1117.636951052116
